[2026-02-15 16:04:28.738][GPIO 3] [1847987918] LEVEL: 0 | EDGE: 0
[2026-02-15 16:04:38.569][GPIO 3] [1857872745] LEVEL: 1 | EDGE: 1
[2026-02-15 16:04:48.502][GPIO 3] [1867757235] LEVEL: 0 | EDGE: 0
[2026-02-15 16:04:58.333][GPIO 3] [1877642531] LEVEL: 1 | EDGE: 1
[2026-02-15 16:05:08.164][GPIO 3] [1887527120] LEVEL: 0 | EDGE: 0
[2026-02-15 16:05:18.202][GPIO 3] [1897412107] LEVEL: 1 | EDGE: 1
[2026-02-15 16:05:27.920][GPIO 3] [1907297237] LEVEL: 0 | EDGE: 0
[2026-02-15 16:05:37.861][GPIO 3] [1917181876] LEVEL: 1 | EDGE: 1
[2026-02-15 16:05:47.680][GPIO 3] [1927066282] LEVEL: 0 | EDGE: 0
[2026-02-15 16:05:57.612][GPIO 3] [1936951189] LEVEL: 1 | EDGE: 1
[2026-02-15 16:06:07.558][GPIO 3] [1946835918] LEVEL: 0 | EDGE: 0
[2026-02-15 16:06:17.384][GPIO 3] [1956721288] LEVEL: 1 | EDGE: 1
[2026-02-15 16:06:27.321][GPIO 3] [1966606344] LEVEL: 0 | EDGE: 0
[2026-02-15 16:06:37.141][GPIO 3] [1976490699] LEVEL: 1 | EDGE: 1
[2026-02-15 16:06:47.087][GPIO 3] [1986374991] LEVEL: 0 | EDGE: 0
[2026-02-15 16:06:56.909][GPIO 3] [1996260101] LEVEL: 1 | EDGE: 1
[2026-02-15 16:07:06.848][GPIO 3] [2006144880] LEVEL: 0 | EDGE: 0
[2026-02-15 16:07:16.667][GPIO 3] [2016029690] LEVEL: 1 | EDGE: 1
[2026-02-15 16:07:26.612][GPIO 3] [2025914165] LEVEL: 0 | EDGE: 0
[2026-02-15 16:07:36.430][GPIO 3] [2035798806] LEVEL: 1 | EDGE: 1
[2026-02-15 16:07:46.377][GPIO 3] [2045684312] LEVEL: 0 | EDGE: 0
[2026-02-15 16:07:56.196][GPIO 3] [2055569670] LEVEL: 1 | EDGE: 1
[2026-02-15 16:08:06.139][GPIO 3] [2065454480] LEVEL: 0 | EDGE: 0
[2026-02-15 16:08:15.963][GPIO 3] [2075340281] LEVEL: 1 | EDGE: 1
[2026-02-15 16:08:25.903][GPIO 3] [2085225783] LEVEL: 0 | EDGE: 0
[2026-02-15 16:08:35.837][GPIO 3] [2095111218] LEVEL: 1 | EDGE: 1
[2026-02-15 16:08:45.667][GPIO 3] [2104996183] LEVEL: 0 | EDGE: 0
[2026-02-15 16:08:55.603][GPIO 3] [2114881410] LEVEL: 1 | EDGE: 1
[2026-02-15 16:09:05.426][GPIO 3] [2124765386] LEVEL: 0 | EDGE: 0
[2026-02-15 16:09:15.364][GPIO 3] [2134648980] LEVEL: 1 | EDGE: 1
[2026-02-15 16:09:25.184][GPIO 3] [2144532516] LEVEL: 0 | EDGE: 0
[2026-02-15 16:09:35.127][GPIO 3] [2154416501] LEVEL: 1 | EDGE: 1
[2026-02-15 16:09:44.958][GPIO 3] [2164298931] LEVEL: 0 | EDGE: 0
[2026-02-15 16:09:54.891][GPIO 3] [2174181586] LEVEL: 1 | EDGE: 1
[2026-02-15 16:10:04.710][GPIO 3] [2184065967] LEVEL: 0 | EDGE: 0
[2026-02-15 16:10:14.654][GPIO 3] [2193951015] LEVEL: 1 | EDGE: 1
[2026-02-15 16:10:24.480][GPIO 3] [2203836262] LEVEL: 0 | EDGE: 0
[2026-02-15 16:10:34.418][GPIO 3] [2213721706] LEVEL: 1 | EDGE: 1
[2026-02-15 16:10:44.238][GPIO 3] [2223607105] LEVEL: 0 | EDGE: 0
[2026-02-15 16:10:54.182][GPIO 3] [2233492771] LEVEL: 1 | EDGE: 1
[2026-02-15 16:11:04.003][GPIO 3] [2243377953] LEVEL: 0 | EDGE: 0
[2026-02-15 16:11:13.945][GPIO 3] [2253262424] LEVEL: 1 | EDGE: 1
[2026-02-15 16:11:23.878][GPIO 3] [2263147155] LEVEL: 0 | EDGE: 0
[2026-02-15 16:11:33.704][GPIO 3] [2273031982] LEVEL: 1 | EDGE: 1
[2026-02-15 16:11:43.534][GPIO 3] [2282916419] LEVEL: 0 | EDGE: 0
[2026-02-15 16:11:53.472][GPIO 3] [2292801253] LEVEL: 1 | EDGE: 1
[2026-02-15 16:12:03.405][GPIO 3] [2302687028] LEVEL: 0 | EDGE: 0
[2026-02-15 16:12:13.235][GPIO 3] [2312572354] LEVEL: 1 | EDGE: 1
[2026-02-15 16:12:23.168][GPIO 3] [2322456658] LEVEL: 0 | EDGE: 0
[2026-02-15 16:12:32.991][GPIO 3] [2332341576] LEVEL: 1 | EDGE: 1
[2026-02-15 16:12:42.932][GPIO 3] [2342226149] LEVEL: 0 | EDGE: 0
[2026-02-15 16:12:52.762][GPIO 3] [2352110584] LEVEL: 1 | EDGE: 1
[2026-02-15 16:13:02.798][GPIO 3] [2361994976] LEVEL: 0 | EDGE: 0
[2026-02-15 16:13:12.520][GPIO 3] [2371879852] LEVEL: 1 | EDGE: 1
